event,country,total_medals,Gold_Medals,Silver_Medals,Bronze_Medals
Men,France,67,28,38,1
Women,"United States",62,33,13,16
Men,"United States",38,12,0,26
Women,Brazil,38,2,23,13
Men,Spain,37,22,0,15
Men,Germany,36,0,36,0
Women,Netherlands,31,17,1,13
Women,France,30,0,29,1
Women,Australia,26,1,13,12
Men,Serbia,25,13,0,12
Women,Germany,24,4,0,20
Men,Netherlands,22,22,0,0
Men,Morocco,19,0,0,19
Women,Spain,17,13,4,0
Women,Canada,17,0,16,1
Women,China,17,0,17,0
Men,Denmark,16,16,0,0
Men,India,16,0,0,16
Women,Argentina,16,0,0,16
Women,Norway,15,15,0,0
Women,Denmark,15,0,0,15
"Mixed Team",France,14,14,0,0
Men,Fiji,14,0,14,0
"Mixed Team",Japan,14,0,14,0
Women,Italy,13,13,0,0
"Mixed Team",Korea,13,2,0,11
Men,"South Africa",13,0,0,13
Men,Poland,13,0,13,0
Men,Croatia,13,0,13,0
Women,"New Zealand",12,12,0,0
"Mixed Team",Brazil,10,0,0,10
"Men's Eight","Great Britain",9,9,0,0
"Women's Eight",Romania,9,9,0,0
Team,China,9,9,0,0
"4 x 400m Relay Mixed","Great Britain",9,0,0,9
"Men's Eight",Netherlands,9,0,9,0
"Men's Eight","United States",9,0,0,9
"Women's Eight",Canada,9,0,9,0
"Women's Eight","Great Britain",9,0,0,9
Team,"United States",9,0,9,0
Team,Spain,9,0,0,9
"Mixed 4 x 100m Medley Relay","United States",8,8,0,0
"Women's 4 x 100m Medley Relay","United States",8,8,0,0
"Men's Team",China,8,3,5,0
"Mixed 4 x 100m Medley Relay",Australia,8,0,0,8
"Women's 4 x 100m Medley Relay",Australia,8,0,8,0
"Women's 4 x 400m Relay","Great Britain",8,0,0,8
"Men's 4 x 400m Relay","United States",7,7,0,0
"Men's 4 x 200m Freestyle Relay","United States",7,0,7,0
"Women's 4 x 200m Freestyle Relay","United States",7,0,7,0
"Men's 4 x 100m Medley Relay","United States",7,0,7,0
"Women's 4 x 100m Medley Relay",China,7,0,0,7
"Men's 4 x 100m Freestyle Relay","United States",6,6,0,0
"Women's 4 x 100m Freestyle Relay",Australia,6,6,0,0
"Men's 4 x 200m Freestyle Relay","Great Britain",6,6,0,0
"Women's 4 x 200m Freestyle Relay",Australia,6,6,0,0
"4 x 400m Relay Mixed",Netherlands,6,6,0,0
"Women's Team Pursuit","United States",6,6,0,0
"Men's 4 x 100m Relay",Canada,6,6,0,0
"Women's 4 x 100m Relay","United States",6,6,0,0
"Women's 4 x 400m Relay","United States",6,6,0,0
"Mixed Doubles",China,6,4,2,0
"Women's Team",Korea,6,3,0,3
"Women's Team",China,6,3,3,0
"Men's 4 x 100m Freestyle Relay",Italy,6,0,0,6
"Women's 4 x 100m Freestyle Relay","United States",6,0,6,0
"Men's Team",France,6,0,3,3
"Men's 4 x 200m Freestyle Relay",Australia,6,0,0,6
"Women's 4 x 200m Freestyle Relay",China,6,0,0,6
"4 x 400m Relay Mixed","United States",6,0,6,0
"Mixed 4 x 100m Medley Relay",China,6,0,6,0
"Men's 4 x 100m Medley Relay",France,6,0,0,6
"Men's Team Pursuit","Great Britain",6,0,6,0
"Women's Team Pursuit","Great Britain",6,0,0,6
"Women's 4 x 100m Relay","Great Britain",6,0,6,0
"Men's 4 x 400m Relay",Botswana,6,0,6,0
"Men's 4 x 400m Relay","Great Britain",6,0,0,6
"Men's Team",Japan,5,5,0,0
"Women's Team","United States",5,5,0,0
"Men's 4 x 100m Medley Relay",China,5,5,0,0
"Men's Team Pursuit",Australia,5,5,0,0
"Men's 4 x 100m Freestyle Relay",Australia,5,0,5,0
"Women's 4 x 100m Freestyle Relay",China,5,0,0,5
"Men's Team","United States",5,0,0,5
"Women's Team",Italy,5,0,5,0
"Women's Team",Brazil,5,0,0,5
"Men's Team Pursuit",Italy,5,0,0,5
"Women's Team Pursuit","New Zealand",5,0,5,0
"Men's 4 x 100m Relay","South Africa",5,0,5,0
