country,host_country_medals,other_country_medals
France,187,0
"United States",0,327
"Great Britain",0,158
China,0,157
Australia,0,121
Netherlands,0,114
Germany,0,108
Japan,0,82
Spain,0,81
Italy,0,80
Brazil,0,67
Korea,0,58
Canada,0,55
"New Zealand",0,49
Denmark,0,42
Serbia,0,29
Poland,0,28
Hungary,0,25
Norway,0,23
India,0,22
"South Africa",0,22
Romania,0,21
Croatia,0,20
Morocco,0,20
Argentina,0,19
Sweden,0,16
Fiji,0,14
Ukraine,0,14
Uzbekistan,0,13
"IR Iran",0,12
Türkiye,0,11
Kenya,0,11
Switzerland,0,10
Greece,0,10
Ireland,0,9
Cuba,0,9
Czechia,0,9
Kazakhstan,0,8
Belgium,0,8
"DPR Korea",0,8
Mexico,0,8
"Chinese Taipei",0,8
Azerbaijan,0,7
Georgia,0,7
Botswana,0,7
Lithuania,0,7
Bulgaria,0,6
AIN,0,6
Jamaica,0,6
Thailand,0,6
Kyrgyzstan,0,6
Austria,0,6
Ecuador,0,6
Israel,0,6
Portugal,0,5
Ethiopia,0,4
Bahrain,0,4
Armenia,0,4
"Hong Kong, China",0,4
Colombia,0,4
"Republic of Moldova",0,4
Philippines,0,4
Tunisia,0,3
Egypt,0,3
Malaysia,0,3
Algeria,0,3
"Dominican Republic",0,3
Slovenia,0,3
Tajikistan,0,3
Guatemala,0,2
Uganda,0,2
Chile,0,2
Kosovo,0,2
Grenada,0,2
Indonesia,0,2
"Saint Lucia",0,2
"Puerto Rico",0,2
Albania,0,2
"Cabo Verde",0,1
Slovakia,0,1
Zambia,0,1
Cyprus,0,1
Peru,0,1
Mongolia,0,1
Pakistan,0,1
EOR,0,1
Jordan,0,1
Singapore,0,1
Qatar,0,1
Panama,0,1
"Côte d'Ivoire",0,1
Dominica,0,1
