country,num_athletes,Medals_Won,Medal_Conversion_Rate
"United States",4,6208,155200.0000
Australia,4,2835,70875.0000
China,4,1304,32600.0000
"Great Britain",4,584,14600.0000
"Great Britain",2,276,13800.0000
China,2,250,12500.0000
"United States",2,225,11250.0000
"New Zealand",2,165,8250.0000
Italy,4,274,6850.0000
"United States",6,367,6116.6667
Netherlands,2,114,5700.0000
Romania,2,102,5100.0000
France,4,203,5075.0000
Netherlands,4,198,4950.0000
Italy,2,95,4750.0000
Germany,2,92,4600.0000
Korea,2,91,4550.0000
Australia,2,77,3850.0000
"United States",7,265,3785.7143
Spain,2,59,2950.0000
Australia,6,169,2816.6667
China,5,138,2760.0000
Korea,3,82,2733.3333
Germany,4,107,2675.0000
Hungary,2,51,2550.0000
Australia,5,126,2520.0000
"Great Britain",6,136,2266.6667
Japan,4,90,2250.0000
Canada,2,39,1950.0000
India,2,37,1850.0000
"United States",8,140,1750.0000
Romania,4,68,1700.0000
Hungary,4,66,1650.0000
"Great Britain",5,82,1640.0000
Ireland,2,32,1600.0000
Canada,4,61,1525.0000
Japan,2,28,1400.0000
"New Zealand",4,56,1400.0000
France,2,27,1350.0000
Australia,8,102,1275.0000
"Great Britain",9,110,1222.2222
China,6,72,1200.0000
Sweden,2,19,950.0000
China,3,28,933.3333
Netherlands,3,27,900.0000
Korea,4,32,800.0000
Romania,9,68,755.5556
Canada,5,36,720.0000
"South Africa",4,28,700.0000
"United States",5,34,680.0000
Czechia,2,13,650.0000
Mexico,2,12,600.0000
Greece,2,12,600.0000
"United States",13,78,600.0000
Netherlands,5,28,560.0000
Brazil,2,11,550.0000
Kenya,4,22,550.0000
Denmark,2,11,550.0000
France,3,16,533.3333
"United States",9,48,533.3333
France,5,26,520.0000
China,7,36,514.2857
France,12,61,508.3333
Netherlands,6,30,500.0000
"United States",12,60,500.0000
"New Zealand",5,24,480.0000
"Great Britain",8,38,475.0000
Italy,5,23,460.0000
France,6,27,450.0000
Malaysia,2,9,450.0000
Poland,4,18,450.0000
Austria,2,9,450.0000
Italy,6,25,416.6667
Germany,6,24,400.0000
Poland,2,8,400.0000
Spain,4,16,400.0000
Croatia,2,8,400.0000
Switzerland,2,8,400.0000
Kazakhstan,2,8,400.0000
AIN,2,8,400.0000
Türkiye,2,7,350.0000
Ireland,4,13,325.0000
Canada,6,18,300.0000
Germany,5,15,300.0000
Netherlands,9,27,300.0000
France,13,39,300.0000
Jamaica,4,12,300.0000
Switzerland,4,11,275.0000
Japan,3,8,266.6667
Sweden,3,8,266.6667
"DPR Korea",2,5,250.0000
Ukraine,4,10,250.0000
Canada,7,17,242.8571
Brazil,5,12,240.0000
Jamaica,5,12,240.0000
"South Africa",5,12,240.0000
Italy,13,27,207.6923
Denmark,15,31,206.6667
Netherlands,17,35,205.8824
Mexico,3,6,200.0000
Spain,5,10,200.0000
Ukraine,2,4,200.0000
"Chinese Taipei",2,4,200.0000
"South Africa",13,26,200.0000
Sweden,4,8,200.0000
Brazil,4,8,200.0000
Poland,13,26,200.0000
Germany,18,36,200.0000
Spain,22,44,200.0000
Australia,13,26,200.0000
Spain,15,30,200.0000
Spain,13,26,200.0000
Brazil,13,26,200.0000
Australia,12,24,200.0000
Serbia,12,24,200.0000
Netherlands,18,35,194.4444
Denmark,16,31,193.7500
Japan,5,9,180.0000
Botswana,4,7,175.0000
Italy,9,15,166.6667
France,14,23,164.2857
Ecuador,2,3,150.0000
Thailand,2,3,150.0000
Portugal,2,3,150.0000
Japan,14,21,150.0000
Lithuania,2,3,150.0000
Norway,2,3,150.0000
Korea,11,15,136.3636
Brazil,10,13,130.0000
Denmark,4,5,125.0000
Egypt,4,5,125.0000
Botswana,6,7,116.6667
Germany,7,8,114.2857
Germany,14,16,114.2857
Germany,9,10,111.1111
Fiji,13,14,107.6923
Norway,14,15,107.1429
France,16,17,106.2500
"United States",19,20,105.2632
France,20,21,105.0000
Türkiye,3,3,100.0000
"United States",3,3,100.0000
Jamaica,6,6,100.0000
Lithuania,4,4,100.0000
Belgium,2,2,100.0000
Czechia,4,4,100.0000
Canada,9,9,100.0000
Fiji,14,14,100.0000
Canada,14,14,100.0000
"New Zealand",12,12,100.0000
Israel,2,2,100.0000
Serbia,2,2,100.0000
China,9,9,100.0000
Spain,9,9,100.0000
Greece,4,4,100.0000
"Hong Kong, China",4,4,100.0000
