team,country,total_medals
"United States of America","United States",7427
Australia,Australia,3321
"People's Republic of China",China,1724
"Great Britain","Great Britain",1218
Netherlands,Netherlands,492
France,France,481
Italy,Italy,428
Germany,Germany,277
Romania,Romania,239
"New Zealand","New Zealand",227
"Republic of Korea",Korea,173
Canada,Canada,168
Spain,Spain,150
Japan,Japan,129
Brazil,Brazil,81
Denmark,Denmark,73
Hungary,Hungary,67
"South Africa","South Africa",66
Poland,Poland,53
Ireland,Ireland,45
India,India,39
Serbia,Serbia,39
Jamaica,Jamaica,36
Norway,Norway,33
Argentina,Argentina,32
Fiji,Fiji,28
"People's Republic of China 1",China,24
"People's Republic of China 2",China,24
Kenya,Kenya,22
Croatia,Croatia,19
Sweden,Sweden,19
Morocco,Morocco,19
Mexico,Mexico,18
Greece,Greece,16
Ukraine,Ukraine,15
Switzerland,Switzerland,15
Botswana,Botswana,14
"NADAS Bence / TOTKA Sandor",Hungary,14
"Republic of Korea 1",Korea,14
"Republic of Korea 2",Korea,14
"United States of America 1","United States",12
"United States of America 2","United States",12
"WANG Chuqin / SUN Yingsha",China,11
"DUNFEE E / LUNDMAN O",Canada,10
"CARRINGTON Lisa / REGAL Caitlin","New Zealand",10
"LIU Yu Chen / OU Xuan Yi",China,9
"LIANG Wei Keng / WANG Chang",China,9
"LIU Sheng Shu / TAN Ning",China,9
"CHEN Qing Chen / JIA Yi Fan",China,9
"FENG Yan Zhe / HUANG Dong Ping",China,9
"ZHENG Si Wei / HUANG Ya Qiong",China,9
"COWLEY R / MONTAG J",Australia,8
"TINGAY D / HENDERSON R",Australia,8
"LINKE C / FEIGE S",Germany,8
"India 1",India,8
"India 2",India,8
"KRETSCHMER Peter / HECKER Tim",Germany,8
"SCHOPF Jacob / LEMKE Max",Germany,8
"RENDSCHMIDT Max / LIEBSCHER-LUCZ Tom",Germany,8
"JAHN Lisa / KLIEMKE Hedi Moana",Germany,8
"PASZEK Paulina / HAKE Jule Marie",Germany,8
"ROEHLINGS Lena / JAGSCH Pauline",Germany,8
"RAUHE Ronald / WIESKOTTER Tim",Germany,8
Belgium,Belgium,7
Lithuania,Lithuania,7
"ADOLF Balazs / HAJDU Jonatan Daniel",Hungary,7
"KOPASZ Balint / VARGA Adam",Hungary,7
"KISS Agnes Anna / NAGY Bianka",Hungary,7
"CSIPES Tamara / GAZSO Alida Dora",Hungary,7
"PUPP Noemi / FOJT Sara",Hungary,7
Türkiye,Türkiye,6
Kazakhstan,Kazakhstan,6
"LOPEZ MA / MONTESINOS C",Spain,5
"MARTIN A / PEREZ M",Spain,5
"BROWN Max / CLANCY Grant","New Zealand",5
"LEGARTH Hamish / IMRIE Kurtis","New Zealand",5
"CARRINGTON Lisa / HOSKIN Alicia","New Zealand",5
"FISHER Aimee / MATEHAERE Lucy","New Zealand",5
Egypt,Egypt,5
"LAMBRIEX Bart / van de WERKEN Floris",Netherlands,5
"van AANHOLT Odile / DUETZ Annette",Netherlands,5
"van der MEER Laila / BOUWER Bjarne",Netherlands,5
"Italy 1",Italy,5
"Italy 2",Italy,5
"LIM Jonghoon / SHIN Yubin",Korea,5
"ZHANG Jun / YANG Jiayu",China,4
"HE X / QIEYANG S",China,4
"HOKI Takuro / KOBAYASHI Yugo",Japan,4
"MATSUYAMA Nami / SHIDA Chiharu",Japan,4
"MATSUMOTO Mayu / NAGAHARA Wakana",Japan,4
"WATANABE Yuta / HIGASHINO Arisa",Japan,4
Czechia,Czechia,4
"McHARDIE Isaac / McKENZIE William","New Zealand",4
"ALEH Jo / MEECH Molly","New Zealand",4
"BOBECK Vilma / NETZLER Rebecca",Sweden,4
"DAHLBERG Anton / KARLSSON Lovisa",Sweden,4
"WILKINSON Micah James / DAWSON Erica Linda","New Zealand",4
"JARUDD Emil / JONSSON Hanna",Sweden,4
"Hong Kong, China","Hong Kong, China",4
"Fritz / Paul","United States",4
"Krajicek / Ram","United States",4
"Gauff / Pegula","United States",4
"Collins / Krawczyk","United States",4
"Gauff / Fritz","United States",4
"LEBRUN Alexis / YUAN Jia Nan",France,4
"HARIMOTO Tomokazu / HAYATA Hina",Japan,4
"KARLSSON Kristian / KALLBERG Christina",Sweden,4
"MORENO Joan Antoni / DOMINGUEZ Diego",Spain,4
"AREVALO Carlos / GERMADE Rodrigo",Spain,4
"del RIO Adrian / COOPER Marcus",Spain,4
"JACOME Antia / CORBERA Maria",Spain,4
"GARCIA OTERO Carolina / OUZANDE Sara",Spain,4
"van der WESTHUYZEN Jean / GREEN Tom",Australia,4
"BEERE Ella / BULL Aly",Australia,4
"PINTADO BD / MOREJON G",Ecuador,3
"STANO M / PALMISANO A",Italy,3
"BANZERUK I / OLYANOVSKA L",Ukraine,3
"KANG Min Hyuk / SEO Seung Jae",Korea,3
"CHIA Aaron / SOH Wooi Yik",Malaysia,3
"BAEK Ha Na / LEE So Hee",Korea,3
"KIM So Yeong / KONG Hee Yong",Korea,3
"TAN Pearly / THINAAH Muralitharan",Malaysia,3
"SEO Seung Jae / CHAE Yu Jung",Korea,3
"KIM Won Ho / JEONG Na Eun",Korea,3
"CHEN Tang Jie / TOH Ee Wei",Malaysia,3
Portugal,Portugal,3
"Democratic People's Republic of Korea","DPR Korea",3
Georgia,Georgia,3
Israel,Israel,3
Uzbekistan,Uzbekistan,3
"BILDSTEIN Benjamin / HUSSL David",Austria,3
"FISCHER Erwan / PEQUIN Clement",France,3
"STEYAERT Sarah / PICON Charline",France,3
"GERMANI Jana / BERTUZZI Giorgia",Italy,3
"VADLAU Lara / MAEHR Lukas",Austria,3
"LECOINTRE Camille / MION Jeremie",France,3
"BERTA Elena / FESTO Bruno",Italy,3
"HABERL Lukas / FRANK Tanja",Austria,3
"MOURNIAC Tim / BERTHOMIEU Lou",France,3
"TITA Ruggero / BANTI Caterina",Italy,3
"Alcaraz / Nadal",Spain,3
"Carreno Busta / Granollers",Spain,3
"Darderi / Musetti",Italy,3
"Bolelli / Vavassori",Italy,3
"Yuan / Zhang",China,3
"Wang / Zheng",China,3
"Bucsa / Sorribes Tormo",Spain,3
"Errani / Paolini",Italy,3
"Bronzetti / Cocciaretto",Italy,3
"Wang / Zhang",China,3
"Sorribes Tormo / Granollers",Spain,3
"Errani / Vavassori",Italy,3
"BONFIM C / LYRA V",Brazil,2
"LEE Yang / WANG Chi-Lin","Chinese Taipei",2
"YE Hong Wei / LEE Chia Hsin","Chinese Taipei",2
"FUKSA Petr / FUKSA Martin",Czechia,2
"SPICAR Jakub / HAVEL Daniel",Czechia,2
"COLLEY Jim / CONNOR Shaun",Australia,2
"BOTIN le CHEVER Diego / TRITTEL PAUL Florian",Spain,2
"PETERS James / STERRITT Fynn","Great Britain",2
"BARROWS Ian Macdill / HENKEN Hans Dakota August","United States",2
"PRICE Olivia / HASELDINE Evie",Australia,2
"ECHEGOYEN DOMINGUEZ Tamara / BARCELO MARTIN Paula",Spain,2
"BLACK Freya / TIDEY Saskia","Great Britain",2
"ROBLE Stephanie Marie / SHEA Margaret Droste","United States",2
"JERWOOD Nia / NICHOLAS Conor",Australia,2
"XAMMAR HERNANDEZ Jordi / BRUGMAN CABOT Nora",Spain,2
"HEATHCOTE Vita / GRUBE Chris","Great Britain",2
"HASSON Nitai / LASRY Noa",Israel,2
"Mc NAY Stuart Pfeiffer / DALLMAN WEISS Lara Anne","United States",2
"LIDDELL Brin / BROWN Rhiannan",Australia,2
"PACHECO van RIJNSOEVER Tara / BARRIO GARCIA Andres",Spain,2
"GIMSON John / BURNET Anna","Great Britain",2
"NEWBERRY Sarah Lauren / LIEBENBERG David Wade","United States",2
"Türkiye 1",Türkiye,2
"Türkiye 2",Türkiye,2
"Kazakhstan 1",Kazakhstan,2
"Kazakhstan 2",Kazakhstan,2
Bahrain,Bahrain,2
"Medvedev / Safiullin",AIN,2
"Popyrin / de Minaur",Australia,2
"Ebden / Peers",Australia,2
"Auger-Aliassime / Raonic",Canada,2
"Machac / Pavlasek",Czechia,2
"Alexandrova / Vesnina",AIN,2
"Andreeva / Shnaider",AIN,2
"Perez / Saville",Australia,2
"Gadecki / Tomljanovic",Australia,2
"Dabrowski / Fernandez",Canada,2
"Muchova / Noskova",Czechia,2
"Krejcikova / Siniakova",Czechia,2
"Andreeva / Medvedev",AIN,2
"Perez / Ebden",Australia,2
"Dabrowski / Auger-Aliassime",Canada,2
"Siniakova / Machac",Czechia,2
"RI Jong Sik / KIM Kum Yong","DPR Korea",2
"MAJDALANI Mateo / BOSCO Eugenia",Argentina,2
Huberli/Brunner,Switzerland,2
Esmee/Zoe,Switzerland,2
"TANAKA Misaki / NAGAMATSU Sera",Japan,2
"OKADA Keiju / YOSHIOKA Miho",Japan,2
"IITSUKA Shibuki /  NISHIDA CAPIGLIA Oura",Japan,2
Mol/Sorum,Norway,2
Ahman/Hellvig,Sweden,2
Ehlers/Wickler,Germany,2
Muller/Tillmann,Germany,2
Ludwig/Lippmann,Germany,2
Schachter/Dearing,Canada,2
Melissa/Brandie,Canada,2
Bansley/Bukovec,Canada,2
George/Andre,Brazil,2
Evandro/Arthur,Brazil,2
"Ana Patricia/Duda",Brazil,2
Carol/Barbara,Brazil,2
Zambia,Zambia,1
"HLAVAC V / MARTINKOVA E",Czechia,1
"QUINION A / BERETTA C",France,1
"VENYERCSAN B / RECSEI R",Hungary,1
"PANWAR Suraj / PRIYANKA",India,1
"KAWANO M / OKADA K",Japan,1
"TAKAHASHI K / YANAI A",Japan,1
"BEN HLIMA M / CHOJECKA O",Poland,1
"Dominican Republic","Dominican Republic",1
"ASTRUP Kim / RASMUSSEN Anders Skaarup",Denmark,1
"JOMKOH Supak / KEDREN Kittinupong",Thailand,1
"FRUERGAARD Maiken / THYGESEN Sara",Denmark,1
"KITITHARAKUL Jongkolphan / PRAJONGJAI Rawinda",Thailand,1
"CHRISTIANSEN Mathias / BOEJE Alexandra",Denmark,1
"PUAVARANUKROH Dechapol / TAERATTANACHAI Sapsiree",Thailand,1
"NASCIMENTO GODMANN Jacky Jamael / GUIMARAES QUEIROZ Isaquias",Brazil,1
"POULIN Pierre-Luc / McTAVISH Simon",Canada,1
"ECKER Jonas / SMALL Aaron","United States",1
"MACKENZIE Sloan / VINCENT Katie",Canada,1
"CIRILO DUBOYS Yarisleidis / LOPEZ LAMADRID Yinnoly Francheska",Cuba,1
"COCIU Daniela / OLARASU Maria","Republic of Moldova",1
"STOTT Courtney / DAVISON Natalie",Canada,1
"JORGENSEN Emma Aastrand / MATTHIESEN Frederikke Hauge",Denmark,1
