discipline,name,country,total_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"3x3 Basketball","GIMENO Vega",Spain,1,0,1,0
"3x3 Basketball","de JONG Worthy",Netherlands,1,1,0,0
"3x3 Basketball","van der HORST Dimeo",Netherlands,1,1,0,0
"3x3 Basketball","HAMBY Dearica","United States",1,0,0,1
"3x3 Basketball","BURDICK Cierra","United States",1,0,0,1
"3x3 Basketball","van LITH Hailey","United States",1,0,0,1
"3x3 Basketball","HOWARD Rhyne","United States",1,0,0,1
"3x3 Basketball","SEGUELA Franck",France,1,0,1,0
"3x3 Basketball","DUSSOULIER Lucas",France,1,0,1,0
"3x3 Basketball","DZIAUGYS Evaldas",Lithuania,1,0,0,1
"3x3 Basketball","DRIESSEN Jan",Netherlands,1,1,0,0
"3x3 Basketball","MATULIS Gintautas",Lithuania,1,0,0,1
"3x3 Basketball","VINGELIS Sarunas",Lithuania,1,0,0,1
"3x3 Basketball","BRUNCKHORST Svenja",Germany,1,1,0,0
"3x3 Basketball","GREINACHER Sonja",Germany,1,1,0,0
"3x3 Basketball","REICHERT Marie",Germany,1,1,0,0
"3x3 Basketball","MEVIUS Elisa",Germany,1,1,0,0
"3x3 Basketball","ALONSO Gracia",Spain,1,0,1,0
"3x3 Basketball","RAMBAUT Jules",France,1,0,1,0
"3x3 Basketball","YGUERAVIDE Sandra",Spain,1,0,1,0
"3x3 Basketball","CAMILION Juana",Spain,1,0,1,0
"3x3 Basketball","PUKELIS Aurelijus",Lithuania,1,0,0,1
"3x3 Basketball","VERGIAT Timothe",France,1,0,1,0
"3x3 Basketball","SLAGTER Arvin",Netherlands,1,1,0,0
Archery,"LIM Sihyeon",Korea,3,3,0,0
Archery,"KIM Woojin",Korea,3,3,0,0
Archery,"NAM Suhyeon",Korea,2,1,1,0
Archery,"ELLISON Brady","United States",2,0,1,1
Archery,"LEE Wooseok",Korea,2,1,0,1
Archery,"BARBELIN Lisa",France,1,0,0,1
Archery,"VALLADONT Jean-Charles",France,1,0,1,0
Archery,"JEON Hunyoung",Korea,1,1,0,0
Archery,"AN Qixuan",China,1,0,1,0
Archery,"LI Jiaman",China,1,0,1,0
Archery,"YANG Xiaolei",China,1,0,1,0
Archery,"RUIZ Angela",Mexico,1,0,0,1
Archery,"VALENCIA Alejandra",Mexico,1,0,0,1
Archery,"KIM Je Deok",Korea,1,1,0,0
Archery,"ADDIS Baptiste",France,1,0,1,0
Archery,"CHIRAULT Thomas",France,1,0,1,0
Archery,"GAZOZ Mete",Türkiye,1,0,0,1
Archery,"TUMER Berkim",Türkiye,1,0,0,1
Archery,"YILDIRMIS Abdullah",Türkiye,1,0,0,1
Archery,"KROPPEN Michelle",Germany,1,0,1,0
Archery,"VAZQUEZ Ana",Mexico,1,0,0,1
Archery,"KAUFHOLD Casey","United States",1,0,0,1
Archery,"UNRUH Florian",Germany,1,0,1,0
"Artistic Gymnastics","BILES Simone","United States",4,3,1,0
"Artistic Gymnastics","ANDRADE Rebeca",Brazil,4,1,2,1
"Artistic Gymnastics","OKA Shinnosuke",Japan,4,3,0,1
"Artistic Gymnastics","LEE Sunisa","United States",3,1,0,2
"Artistic Gymnastics","ZOU Jingyuan",China,3,1,2,0
"Artistic Gymnastics","ZHANG Boheng",China,3,0,2,1
"Artistic Gymnastics","LIU Yang",China,2,1,1,0
"Artistic Gymnastics","ESPOSITO Manila",Italy,2,0,1,1
"Artistic Gymnastics","CAREY Jade","United States",2,1,0,1
"Artistic Gymnastics","NEDOROSCIK Stephen","United States",2,0,0,2
"Artistic Gymnastics","YULO Carlos Edriel",Philippines,2,2,0,0
"Artistic Gymnastics","D'AMATO Alice",Italy,2,1,1,0
"Artistic Gymnastics","XIAO Ruoteng",China,2,0,1,1
"Artistic Gymnastics","DOLGOPYAT Artem",Israel,1,0,1,0
"Artistic Gymnastics","SU Weide",China,1,0,1,0
"Artistic Gymnastics","TANIGAWA Wataru",Japan,1,1,0,0
"Artistic Gymnastics","SUGINO Takaaki",Japan,1,1,0,0
"Artistic Gymnastics","CHILES Jordan","United States",1,1,0,0
"Artistic Gymnastics","SOARES Julia",Brazil,1,0,0,1
"Artistic Gymnastics","SARAIVA Flavia",Brazil,1,0,0,1
"Artistic Gymnastics","OLIVEIRA Lorrane",Brazil,1,0,0,1
"Artistic Gymnastics","BARBOSA Jade",Brazil,1,0,0,1
"Artistic Gymnastics","DAVTYAN Artur",Armenia,1,0,1,0
"Artistic Gymnastics","KAYA Kazuma",Japan,1,1,0,0
"Artistic Gymnastics","ANDREOLI Angela",Italy,1,0,1,0
"Artistic Gymnastics","HASHIMOTO Daiki",Japan,1,1,0,0
"Artistic Gymnastics","HEPWORTH Harry","Great Britain",1,0,0,1
"Artistic Gymnastics","NEMOUR Kaylia",Algeria,1,1,0,0
"Artistic Gymnastics","QIU Qiyuan",China,1,0,1,0
"Artistic Gymnastics","Mc CLENAGHAN Rhys",Ireland,1,1,0,0
"Artistic Gymnastics","IORIO Elisa",Italy,1,0,1,0
"Artistic Gymnastics","JARMAN Jake","Great Britain",1,0,0,1
"Artistic Gymnastics","MALONE Brody","United States",1,0,0,1
"Artistic Gymnastics","RICHARD Frederick","United States",1,0,0,1
"Artistic Gymnastics","KURBANOV Nariman",Kazakhstan,1,0,1,0
"Artistic Gymnastics","TANG Chia-Hung","Chinese Taipei",1,0,0,1
"Artistic Gymnastics","KOVTUN Illia",Ukraine,1,0,1,0
"Artistic Gymnastics","JUDA Paul","United States",1,0,0,1
"Artistic Gymnastics","ZHOU Yaqin",China,1,0,1,0
"Artistic Gymnastics","VILLA Giorgia",Italy,1,0,1,0
"Artistic Gymnastics","BARBOSU Ana",Romania,1,0,0,1
