player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
1532872,Artur Aleksanyan,M,Armenia,ARM,2024,Summer,Paris,Wrestling,Men's Greco-Roman 97kg,Silver
1532873,Malkhas Amoyan,M,Armenia,ARM,2024,Summer,Paris,Wrestling,Men's Greco-Roman 77kg,Bronze
1532874,Slavik Galstyan,M,Armenia,ARM,2024,Summer,Paris,Wrestling,Men's Greco-Roman 67kg,No medal
1532944,Arsen Harutyunyan,M,Armenia,ARM,2024,Summer,Paris,Wrestling,Men's Freestyle 57kg,No medal
1532945,Vazgen Tevanyan,M,Armenia,ARM,2024,Summer,Paris,Wrestling,Men's Freestyle 65kg,No medal
1532951,Lorena Arenas,F,Colombia,COL,2024,Summer,Paris,Athletics,Women's 20km Race Walk,No medal
1532951,Lorena Arenas,F,Colombia,COL,2024,Summer,Paris,Athletics,Marathon Race Walk Relay Mixed,No medal
1533112,McKENZIE Ashley,M,Jamaica,JAM,2024,Summer,Paris,Judo,Men -60 kg,No medal
1533136,Mariam Bass,F,Gambia,GAM,2024,Summer,Paris,Athletics,Women's 100m,No medal
1533136,Mariam Bass,F,Gambia,GAM,2024,Summer,Paris,Athletics,Women's 200m,No medal
1533176,Ebrahima Camara,M,Gambia,GAM,2024,Summer,Paris,Athletics,Men's 100m,No medal
1533188,Lizeth Rueda,F,Mexico,MEX,2024,Summer,Paris,Triathlon,Women's Individual,No medal
1533189,Maria Tapia,F,Mexico,MEX,2024,Summer,Paris,Triathlon,Women's Individual,No medal
1533190,Crisanto Grajales,M,Mexico,MEX,2024,Summer,Paris,Triathlon,Men's Individual,No medal
1533208,Hachim Maaroufou,M,Comoros,COM,2024,Summer,Paris,Athletics,Men's 100m,No medal
1533209,Maesha Saadi,F,Comoros,COM,2024,Summer,Paris,Swimming,Women's 50m Freestyle,No medal
1533230,Nuria Diosdado,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533230,Nuria Diosdado,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Duet,No medal
1533231,Joana Jimenez,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533231,Joana Jimenez,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Duet,No medal
1533232,Jessica Sobrino,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533234,Regina Alferez,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533235,Fernanda Arellano,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533237,Pamela Toscano,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533239,Itzamary Gonzalez,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533240,Samanta Rodriguez,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533243,Glenda Inzunza,F,Mexico,MEX,2024,Summer,Paris,Artistic Swimming,Team,No medal
1533245,Sajjad Sehen,M,Iraq,IRQ,2024,Summer,Paris,Judo,Men -81 kg,No medal
1533359,Yusur Rubaiawi,M,Iraq,IRQ,2024,Summer,Paris,Weightlifting,Men's +102kg,No medal
1533364,Mohamed Ismail,M,Djibouti,DJI,2024,Summer,Paris,Athletics,Men's 5000m,No medal
1533371,Ibrahim Hassan,M,Djibouti,DJI,2024,Summer,Paris,Athletics,Men's Marathon,No medal
1533372,Abdi Waiss,M,Djibouti,DJI,2024,Summer,Paris,Athletics,Men's 5000m,No medal
1533374,Samiyah Hassan,F,Djibouti,DJI,2024,Summer,Paris,Athletics,Women's 5000m,No medal
1533378,Houmed Houssein,M,Djibouti,DJI,2024,Summer,Paris,Swimming,Men's 50m Freestyle,No medal
1535180,Andy Barat,M,Comoros,COM,2024,Summer,Paris,Canoe Slalom,Men's Kayak Single,No medal
1535180,Andy Barat,M,Comoros,COM,2024,Summer,Paris,Canoe Slalom,Men's Kayak Cross,No medal
1535186,Angel Martinez,M,Mexico,MEX,2024,Summer,Paris,Boxing,Men's 63.5kg,No medal
1535187,Alonso Verde,M,Mexico,MEX,2024,Summer,Paris,Boxing,Men's 71kg,Silver
1535191,Alegna Gonzalez,F,Mexico,MEX,2024,Summer,Paris,Athletics,Women's 20km Race Walk,No medal
1535191,Alegna Gonzalez,F,Mexico,MEX,2024,Summer,Paris,Athletics,Marathon Race Walk Relay Mixed,No medal
1535195,Tonatiu Lopez,M,Mexico,MEX,2024,Summer,Paris,Athletics,Men's 800m,No medal
1535199,Erick Portillo,M,Mexico,MEX,2024,Summer,Paris,Athletics,Men's High Jump,No medal
1535201,Uziel Munoz,M,Mexico,MEX,2024,Summer,Paris,Athletics,Men's Shot Put,No medal
1535202,del Diego,M,Mexico,MEX,2024,Summer,Paris,Athletics,Men's Hammer Throw,No medal
1535203,Luis Doctor,M,Mexico,MEX,2024,Summer,Paris,Athletics,Men's 20km Race Walk,No medal
1535212,Paola Moran,F,Mexico,MEX,2024,Summer,Paris,Athletics,Women's 400m,No medal
1535214,Laura Galvan,F,Mexico,MEX,2024,Summer,Paris,Athletics,Women's 5000m,No medal
1535216,Delia Cortes,F,Mexico,MEX,2024,Summer,Paris,Athletics,Women's 5000m,No medal
1535217,Citlali Cristian,F,Mexico,MEX,2024,Summer,Paris,Athletics,Women's Marathon,No medal
1535222,Jair Palma,M,Mexico,MEX,2024,Summer,Paris,Athletics,Marathon Race Walk Relay Mixed,No medal
1535225,Elena Oetling,F,Mexico,MEX,2024,Summer,Paris,Sailing,Women's Dinghy,No medal
1535226,Mariana Aguilar,F,Mexico,MEX,2024,Summer,Paris,Sailing,Women's Windsurfing,No medal
1535252,Kenia Lechuga,F,Mexico,MEX,2024,Summer,Paris,Rowing,Women's Single Sculls,No medal
1535260,Alexis Lopez,M,Mexico,MEX,2024,Summer,Paris,Rowing,Lightweight Men's Double Sculls,No medal
1535267,Miguel Carballo,M,Mexico,MEX,2024,Summer,Paris,Rowing,Lightweight Men's Double Sculls,No medal
1535310,Luisa Blanco,F,Colombia,COL,2024,Summer,Paris,Artistic Gymnastics,Women,No medal
1535310,Luisa Blanco,F,Colombia,COL,2024,Summer,Paris,Artistic Gymnastics,Women's All-Around,No medal
1535310,Luisa Blanco,F,Colombia,COL,2024,Summer,Paris,Artistic Gymnastics,Women's Balance Beam,No medal
1535310,Luisa Blanco,F,Colombia,COL,2024,Summer,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal
1535310,Luisa Blanco,F,Colombia,COL,2024,Summer,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal
1535310,Luisa Blanco,F,Colombia,COL,2024,Summer,Paris,Artistic Gymnastics,Women's Vault,No medal
1535343,Randal Willars,M,Mexico,MEX,2024,Summer,Paris,Diving,Men's 10m Platform,No medal
1535343,Randal Willars,M,Mexico,MEX,2024,Summer,Paris,Diving,Men's Synchronised 10m Platform,No medal
1535345,Kevin Berlin,M,Mexico,MEX,2024,Summer,Paris,Diving,Men's 10m Platform,No medal
1535345,Kevin Berlin,M,Mexico,MEX,2024,Summer,Paris,Diving,Men's Synchronised 10m Platform,No medal
1535346,Alejandra Orozco,F,Mexico,MEX,2024,Summer,Paris,Diving,Women's 10m Platform,No medal
1535346,Alejandra Orozco,F,Mexico,MEX,2024,Summer,Paris,Diving,Women's Synchronised 10m Platform,No medal
1535348,Gabriela Agundez,F,Mexico,MEX,2024,Summer,Paris,Diving,Women's 10m Platform,No medal
1535348,Gabriela Agundez,F,Mexico,MEX,2024,Summer,Paris,Diving,Women's Synchronised 10m Platform,No medal
1535349,Osmar Olvera,M,Mexico,MEX,2024,Summer,Paris,Diving,Men's 3m Springboard,Bronze
1535349,Osmar Olvera,M,Mexico,MEX,2024,Summer,Paris,Diving,Men's Synchronised 3m Springboard,Silver
1535350,Eugenio Garza,M,Mexico,MEX,2024,Summer,Paris,Equestrian,Jumping Individual,No medal
1535350,Eugenio Garza,M,Mexico,MEX,2024,Summer,Paris,Equestrian,Jumping Team,No medal
