code,team,team_gender,country,country_code,discipline,disciplines_code,num_athletes
ARCMTEAM3---CHN01,People's Republic of China,M,China,CHN,Archery,ARC,3
ARCMTEAM3---COL01,Colombia,M,Colombia,COL,Archery,ARC,3
ARCMTEAM3---FRA01,France,M,France,FRA,Archery,ARC,3
ARCMTEAM3---GBR01,Great Britain,M,Great Britain,GBR,Archery,ARC,3
ARCMTEAM3---IND01,India,M,India,IND,Archery,ARC,3
ARCMTEAM3---ITA01,Italy,M,Italy,ITA,Archery,ARC,3
ARCMTEAM3---JPN01,Japan,M,Japan,JPN,Archery,ARC,3
ARCMTEAM3---KAZ01,Kazakhstan,M,Kazakhstan,KAZ,Archery,ARC,3
ARCMTEAM3---KOR01,Republic of Korea,M,Korea,KOR,Archery,ARC,3
ARCMTEAM3---MEX01,Mexico,M,Mexico,MEX,Archery,ARC,3
ARCMTEAM3---TPE01,Chinese Taipei,M,Chinese Taipei,TPE,Archery,ARC,3
ARCMTEAM3---TUR01,Türkiye,M,Türkiye,TUR,Archery,ARC,3
ARCWTEAM3---CHN01,People's Republic of China,W,China,CHN,Archery,ARC,3
ARCWTEAM3---FRA01,France,W,France,FRA,Archery,ARC,3
ARCWTEAM3---GBR01,Great Britain,W,Great Britain,GBR,Archery,ARC,3
ARCWTEAM3---GER01,Germany,W,Germany,GER,Archery,ARC,3
ARCWTEAM3---INA01,Indonesia,W,Indonesia,INA,Archery,ARC,3
ARCWTEAM3---IND01,India,W,India,IND,Archery,ARC,3
ARCWTEAM3---KOR01,Republic of Korea,W,Korea,KOR,Archery,ARC,3
ARCWTEAM3---MAS01,Malaysia,W,Malaysia,MAS,Archery,ARC,3
ARCWTEAM3---MEX01,Mexico,W,Mexico,MEX,Archery,ARC,3
ARCWTEAM3---NED01,Netherlands,W,Netherlands,NED,Archery,ARC,3
ARCWTEAM3---TPE01,Chinese Taipei,W,Chinese Taipei,TPE,Archery,ARC,3
ARCWTEAM3---USA01,United States of America,W,United States,USA,Archery,ARC,3
ARCXTEAM2---AUS01,Australia,X,Australia,AUS,Archery,ARC,2
ARCXTEAM2---BRA01,Brazil,X,Brazil,BRA,Archery,ARC,2
ARCXTEAM2---CAN01,Canada,X,Canada,CAN,Archery,ARC,2
ARCXTEAM2---CHN01,People's Republic of China,X,China,CHN,Archery,ARC,2
ARCXTEAM2---COL01,Colombia,X,Colombia,COL,Archery,ARC,2
ARCXTEAM2---CZE01,Czechia,X,Czechia,CZE,Archery,ARC,2
ARCXTEAM2---EGY01,Egypt,X,Egypt,EGY,Archery,ARC,2
ARCXTEAM2---ESP01,Spain,X,Spain,ESP,Archery,ARC,2
ARCXTEAM2---FRA01,France,X,France,FRA,Archery,ARC,2
ARCXTEAM2---GBR01,Great Britain,X,Great Britain,GBR,Archery,ARC,2
ARCXTEAM2---GER01,Germany,X,Germany,GER,Archery,ARC,2
ARCXTEAM2---INA01,Indonesia,X,Indonesia,INA,Archery,ARC,2
ARCXTEAM2---IND01,India,X,India,IND,Archery,ARC,2
ARCXTEAM2---ISR01,Israel,X,Israel,ISR,Archery,ARC,2
ARCXTEAM2---ITA01,Italy,X,Italy,ITA,Archery,ARC,2
ARCXTEAM2---JPN01,Japan,X,Japan,JPN,Archery,ARC,2
ARCXTEAM2---KOR01,Republic of Korea,X,Korea,KOR,Archery,ARC,2
ARCXTEAM2---MDA01,Republic of Moldova,X,Republic of Moldova,MDA,Archery,ARC,2
ARCXTEAM2---MEX01,Mexico,X,Mexico,MEX,Archery,ARC,2
ARCXTEAM2---NED01,Netherlands,X,Netherlands,NED,Archery,ARC,2
ARCXTEAM2---SLO01,Slovenia,X,Slovenia,SLO,Archery,ARC,2
ARCXTEAM2---TPE01,Chinese Taipei,X,Chinese Taipei,TPE,Archery,ARC,2
ARCXTEAM2---TUR01,Türkiye,X,Türkiye,TUR,Archery,ARC,2
ARCXTEAM2---UKR01,Ukraine,X,Ukraine,UKR,Archery,ARC,2
ARCXTEAM2---USA01,United States of America,X,United States,USA,Archery,ARC,2
ARCXTEAM2---UZB01,Uzbekistan,X,Uzbekistan,UZB,Archery,ARC,2
ARCXTEAM2---VIE01,Vietnam,X,Vietnam,VIE,Archery,ARC,2
ATHM4X100M--AUS01,Australia,M,Australia,AUS,Athletics,ATH,6
ATHM4X100M--BRA01,Brazil,M,Brazil,BRA,Athletics,ATH,5
ATHM4X100M--CAN01,Canada,M,Canada,CAN,Athletics,ATH,6
ATHM4X100M--CHN01,People's Republic of China,M,China,CHN,Athletics,ATH,5
ATHM4X100M--FRA01,France,M,France,FRA,Athletics,ATH,7
ATHM4X100M--GBR01,Great Britain,M,Great Britain,GBR,Athletics,ATH,5
ATHM4X100M--GER01,Germany,M,Germany,GER,Athletics,ATH,6
ATHM4X100M--GHA01,Ghana,M,Ghana,GHA,Athletics,ATH,5
ATHM4X100M--ITA01,Italy,M,Italy,ITA,Athletics,ATH,7
ATHM4X100M--JAM01,Jamaica,M,Jamaica,JAM,Athletics,ATH,5
ATHM4X100M--JPN01,Japan,M,Japan,JPN,Athletics,ATH,6
ATHM4X100M--LBR01,Liberia,M,Liberia,LBR,Athletics,ATH,5
ATHM4X100M--NED01,Netherlands,M,Netherlands,NED,Athletics,ATH,5
ATHM4X100M--NGR01,Nigeria,M,Nigeria,NGR,Athletics,ATH,4
ATHM4X100M--RSA01,South Africa,M,South Africa,RSA,Athletics,ATH,5
ATHM4X100M--USA01,United States of America,M,United States,USA,Athletics,ATH,6
ATHM4X400M--BEL01,Belgium,M,Belgium,BEL,Athletics,ATH,7
ATHM4X400M--BOT01,Botswana,M,Botswana,BOT,Athletics,ATH,6
ATHM4X400M--BRA01,Brazil,M,Brazil,BRA,Athletics,ATH,5
ATHM4X400M--ESP01,Spain,M,Spain,ESP,Athletics,ATH,5
ATHM4X400M--FRA01,France,M,France,FRA,Athletics,ATH,6
ATHM4X400M--GBR01,Great Britain,M,Great Britain,GBR,Athletics,ATH,6
ATHM4X400M--GER01,Germany,M,Germany,GER,Athletics,ATH,7
ATHM4X400M--IND01,India,M,India,IND,Athletics,ATH,5
ATHM4X400M--ITA01,Italy,M,Italy,ITA,Athletics,ATH,9
ATHM4X400M--JPN01,Japan,M,Japan,JPN,Athletics,ATH,5
ATHM4X400M--NGR01,Nigeria,M,Nigeria,NGR,Athletics,ATH,6
ATHM4X400M--POL01,Poland,M,Poland,POL,Athletics,ATH,6
ATHM4X400M--RSA01,South Africa,M,South Africa,RSA,Athletics,ATH,5
ATHM4X400M--TTO01,Trinidad and Tobago,M,Trinidad and Tobago,TTO,Athletics,ATH,5
ATHM4X400M--USA01,United States of America,M,United States,USA,Athletics,ATH,7
ATHM4X400M--ZAM01,Zambia,M,Zambia,ZAM,Athletics,ATH,5
ATHW4X100M--AUS01,Australia,W,Australia,AUS,Athletics,ATH,6
ATHW4X100M--BEL01,Belgium,W,Belgium,BEL,Athletics,ATH,6
ATHW4X100M--CAN01,Canada,W,Canada,CAN,Athletics,ATH,5
ATHW4X100M--CIV01,Côte d'Ivoire,W,Côte d'Ivoire,CIV,Athletics,ATH,5
ATHW4X100M--ESP01,Spain,W,Spain,ESP,Athletics,ATH,6
ATHW4X100M--FRA01,France,W,France,FRA,Athletics,ATH,6
ATHW4X100M--GBR01,Great Britain,W,Great Britain,GBR,Athletics,ATH,6
ATHW4X100M--GER01,Germany,W,Germany,GER,Athletics,ATH,5
ATHW4X100M--ITA01,Italy,W,Italy,ITA,Athletics,ATH,6
ATHW4X100M--JAM01,Jamaica,W,Jamaica,JAM,Athletics,ATH,6
ATHW4X100M--NED01,Netherlands,W,Netherlands,NED,Athletics,ATH,6
ATHW4X100M--NGR01,Nigeria,W,Nigeria,NGR,Athletics,ATH,5
ATHW4X100M--POL01,Poland,W,Poland,POL,Athletics,ATH,5
ATHW4X100M--SUI01,Switzerland,W,Switzerland,SUI,Athletics,ATH,6
ATHW4X100M--TTO01,Trinidad and Tobago,W,Trinidad and Tobago,TTO,Athletics,ATH,5
ATHW4X100M--USA01,United States of America,W,United States,USA,Athletics,ATH,6
ATHW4X400M--BEL01,Belgium,W,Belgium,BEL,Athletics,ATH,6
ATHW4X400M--CAN01,Canada,W,Canada,CAN,Athletics,ATH,5
ATHW4X400M--CUB01,Cuba,W,Cuba,CUB,Athletics,ATH,6
ATHW4X400M--ESP01,Spain,W,Spain,ESP,Athletics,ATH,5
ATHW4X400M--FRA01,France,W,France,FRA,Athletics,ATH,6
ATHW4X400M--GBR01,Great Britain,W,Great Britain,GBR,Athletics,ATH,8
ATHW4X400M--GER01,Germany,W,Germany,GER,Athletics,ATH,6
ATHW4X400M--IND01,India,W,India,IND,Athletics,ATH,5
ATHW4X400M--IRL01,Ireland,W,Ireland,IRL,Athletics,ATH,6
ATHW4X400M--ITA01,Italy,W,Italy,ITA,Athletics,ATH,7
ATHW4X400M--JAM01,Jamaica,W,Jamaica,JAM,Athletics,ATH,7
ATHW4X400M--NED01,Netherlands,W,Netherlands,NED,Athletics,ATH,5
ATHW4X400M--NOR01,Norway,W,Norway,NOR,Athletics,ATH,6
ATHW4X400M--POL01,Poland,W,Poland,POL,Athletics,ATH,6
ATHW4X400M--SUI01,Switzerland,W,Switzerland,SUI,Athletics,ATH,7
ATHW4X400M--USA01,United States of America,W,United States,USA,Athletics,ATH,6
ATHX42KWALKTAUS01,COWLEY R / MONTAG J,X,Australia,AUS,Athletics,ATH,2
ATHX42KWALKTAUS02,TINGAY D / HENDERSON R,X,Australia,AUS,Athletics,ATH,2
ATHX42KWALKTBRA01,BONFIM C / LYRA V,X,Brazil,BRA,Athletics,ATH,2
ATHX42KWALKTCAN01,DUNFEE E / LUNDMAN O,X,Canada,CAN,Athletics,ATH,2
ATHX42KWALKTCHN01,ZHANG Jun / YANG Jiayu,X,China,CHN,Athletics,ATH,2
ATHX42KWALKTCHN02,HE X / QIEYANG S,X,China,CHN,Athletics,ATH,2
ATHX42KWALKTCOL01,ROMERO M / ARENAS L,X,Colombia,COL,Athletics,ATH,2
ATHX42KWALKTCOL02,HERRERA/MOJICA CHALARCA,X,Colombia,COL,Athletics,ATH,2
